VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
2,2015-01-08 22:44:09,2015-01-08 22:50:56,1,1.55,-73.987686157226562,40.724250793457031,1,N,-73.973762512207031,40.743377685546875,2,7.5,0.5,0.5,0,0,8.8
1,2015-01-08 22:44:09,2015-01-08 22:51:17,3,1.20,-73.991569519042969,40.726932525634766,1,N,-74.004104614257813,40.721080780029297,2,7,0.5,0.5,0,0,8.3
1,2015-01-08 22:44:10,2015-01-08 22:55:27,1,2.40,-73.981918334960938,40.783443450927734,1,N,-73.952354431152344,40.798198699951172,2,10.5,0.5,0.5,0,0,11.8
1,2015-01-08 22:44:10,2015-01-08 22:58:09,1,7.30,-73.973121643066406,40.743553161621094,1,N,-73.919570922851563,40.832000732421875,2,21.5,0.5,0.5,0,0,22.8
1,2015-01-08 22:44:12,2015-01-08 22:46:16,1,.40,-73.982948303222656,40.766208648681641,1,N,-73.984390258789063,40.764053344726562,2,3.5,0.5,0.5,0,0,4.8
2,2015-01-08 22:44:12,2015-01-08 22:48:33,1,.71,-73.982498168945313,40.764019012451172,1,N,-73.974647521972656,40.757778167724609,2,5,0.5,0.5,0,0,6.3
1,2015-01-08 22:44:12,2015-01-08 22:51:35,1,1.60,-73.972160339355469,40.759346008300781,1,N,-73.986076354980469,40.740146636962891,1,7.5,0.5,0.5,1.2,0,10
2,2015-01-08 22:44:13,2015-01-08 22:46:37,1,.52,-73.972679138183594,40.793289184570313,1,N,-73.971282958984375,40.797061920166016,1,4,0.5,0.5,0.9,0,6.2
2,2015-01-08 22:44:14,2015-01-08 22:55:05,3,6.23,-74.011489868164063,40.702728271484375,1,N,-73.95947265625,40.762882232666016,1,18.5,0.5,0.5,3.8,0,23.6
2,2015-01-08 22:44:14,2015-01-08 22:59:12,1,5.88,-73.928718566894531,40.743888854980469,5,N,-73.855216979980469,40.727779388427734,1,75,0,0,5,0,80.3
2,2015-01-08 22:44:15,2015-01-08 23:02:04,1,3.48,-73.974403381347656,40.755313873291016,1,N,-73.980995178222656,40.721195220947266,1,15,0.5,0.5,3.1,0,19.4
1,2015-01-08 22:44:16,2015-01-08 22:48:17,1,1.00,-73.977020263671875,40.752250671386719,1,N,-73.977561950683594,40.762882232666016,1,5,0.5,0.5,3,0,9.3
2,2015-01-08 22:44:16,2015-01-08 23:07:25,1,4.85,-73.991020202636719,40.770248413085937,1,N,-73.981254577636719,40.720779418945313,1,19.5,0.5,0.5,4,0,24.8
2,2015-01-08 22:44:16,2015-01-08 22:49:20,1,1.11,-73.993949890136719,40.741302490234375,1,N,-73.981155395507813,40.744377136230469,1,6,0.5,0.5,1.3,0,8.6
1,2015-01-08 22:44:17,2015-01-08 22:54:56,2,1.60,-74.007102966308594,40.734523773193359,1,N,-73.983306884765625,40.730354309082031,1,9,0.5,0.5,2.06,0,12.36
1,2015-01-08 22:44:17,2015-01-08 22:47:30,1,.80,-73.96234130859375,40.759075164794922,1,N,-73.958000183105469,40.769515991210938,2,5,0.5,0.5,0,0,6.3
2,2015-01-08 22:44:17,2015-01-08 22:48:27,3,1.17,-73.998100280761719,40.722705841064453,1,N,-73.985374450683594,40.730838775634766,1,5.5,0.5,0.5,1.2,0,8
1,2015-01-08 22:44:18,2015-01-08 23:01:50,1,4.40,-73.990043640136719,40.736957550048828,1,N,-73.950309753417969,40.773841857910156,1,16,0.5,0.5,3,0,20.3
1,2015-01-08 22:44:18,2015-01-08 22:46:59,1,.70,-73.9720458984375,40.763999938964844,1,N,-73.964546203613281,40.773014068603516,2,4.5,0.5,0.5,0,0,5.8
2,2015-01-08 22:44:19,2015-01-08 22:54:45,2,1.32,-73.991371154785156,40.749797821044922,1,N,-73.975959777832031,40.749000549316406,2,8.5,0.5,0.5,0,0,9.8
2,2015-01-08 22:44:19,2015-01-08 22:51:57,1,1.22,-73.976524353027344,40.764415740966797,1,N,-73.987152099609375,40.755153656005859,2,7.5,0.5,0.5,0,0,8.8
1,2015-01-08 22:44:20,2015-01-08 22:44:33,1,.00,-74.002006530761719,40.729846954345703,2,N,-74.001640319824219,40.730487823486328,2,52,0,0.5,0,0,52.8
2,2015-01-08 22:44:20,2015-01-08 22:50:35,1,1.36,-73.950599670410156,40.775768280029297,1,N,-73.964408874511719,40.763980865478516,2,6.5,0.5,0.5,0,0,7.8
1,2015-01-08 22:44:21,2015-01-08 22:49:48,1,1.80,-73.982345581054687,40.776844024658203,1,N,-73.970916748046875,40.800113677978516,1,7.5,0.5,0.5,1.75,0,10.55
1,2015-01-08 22:44:21,2015-01-08 22:53:43,1,1.40,-73.975135803222656,40.752422332763672,1,N,-73.984474182128906,40.764003753662109,1,8,0.5,0.5,1.86,0,11.16
1,2015-01-08 22:44:21,2015-01-08 22:58:47,2,2.20,-73.983039855957031,40.767852783203125,1,N,-73.953422546386719,40.773540496826172,1,11.5,0.5,0.5,2.56,0,15.36
1,2015-01-08 22:44:22,2015-01-08 22:53:05,1,1.70,-73.947532653808594,40.782730102539063,1,N,-73.968185424804688,40.790725708007813,1,8.5,0.5,0.5,1.95,0,11.75
1,2015-01-08 22:44:22,2015-01-08 22:56:13,2,2.10,-73.987167358398438,40.733127593994141,1,N,-73.982154846191406,40.756248474121094,1,10,0.5,0.5,2,0,13.3
2,2015-01-08 22:44:20,2015-01-08 23:05:58,1,3.83,-73.9649658203125,40.755817413330078,1,N,-73.989395141601562,40.740608215332031,1,16.5,0.5,0.5,1,0,18.8
2,2015-01-08 22:44:23,2015-01-08 22:51:22,2,.95,-74.004203796386719,40.732143402099609,1,N,-73.996986389160156,40.724929809570313,2,6.5,0.5,0.5,0,0,7.8
2,2015-01-08 22:44:23,2015-01-08 22:49:09,1,.84,-73.977645874023438,40.752143859863281,1,N,-73.988998413085938,40.758522033691406,1,5,0.5,0.5,1,0,7.3
2,2015-01-08 22:44:24,2015-01-08 23:06:08,1,9.63,-73.873100280761719,40.774139404296875,1,N,-73.98046875,40.782390594482422,1,28,0.5,0.5,10.15,5.33,44.78
2,2015-01-08 22:44:24,2015-01-08 22:58:40,1,3.88,-73.988594055175781,40.722690582275391,1,N,-73.954208374023437,40.771244049072266,1,14,0.5,0.5,3.62,0,18.92
2,2015-01-08 22:44:25,2015-01-08 23:04:44,1,2.92,-73.994171142578125,40.761405944824219,1,N,-73.957687377929688,40.773811340332031,2,14.5,0.5,0.5,0,0,15.8
2,2015-01-08 22:44:26,2015-01-08 23:14:27,1,20.21,-73.781990051269531,40.644668579101563,1,N,-73.924415588378906,40.843631744384766,2,54,0.5,0.5,0,5.33,60.63
2,2015-01-08 22:44:26,2015-01-08 22:53:19,1,1.72,-73.971359252929688,40.795463562011719,1,N,-73.988037109375,40.779548645019531,1,8.5,0.5,0.5,1.8,0,11.6
