"{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A}","42000","1995-12-21 00:00","NE4 9DN","S","N","F","8","","MATFEN PLACE","FENHAM","NEWCASTLE UPON TYNE","NEWCASTLE UPON TYNE","TYNE AND WEAR","A","A"
"{20E2441A-0F16-49AB-97D4-8737E62A5D93}","95000","1995-03-03 00:00","RM16 4UR","S","N","F","30","","HEATH ROAD","GRAYS","GRAYS","THURROCK","THURROCK","A","A"
"{D893EE64-4464-44B5-B01B-8E62403ED83C}","74950","1995-10-03 00:00","CW10 9ES","D","Y","F","15","","SHROPSHIRE CLOSE","MIDDLEWICH","MIDDLEWICH","CONGLETON","CHESHIRE","A","A"
"{F9F753A8-E56A-4ECC-9927-8E626A471A92}","43500","1995-11-14 00:00","TS23 3LA","S","N","F","19","","SLEDMERE CLOSE","BILLINGHAM","BILLINGHAM","STOCKTON-ON-TEES","STOCKTON-ON-TEES","A","A"
"{E166398A-A19E-470E-BB5A-83B4C254CF6D}","63000","1995-09-08 00:00","CA25 5QH","S","N","F","8","","CROSSINGS CLOSE","CLEATOR MOOR","CLEATOR MOOR","COPELAND","CUMBRIA","A","A"
"{A9A3C463-3CA0-4D71-8CF9-83B4D0536EEA}","29995","1995-05-12 00:00","PE14 8JF","S","N","F","114","","SMEETH ROAD","ST JOHNS FEN END","WISBECH","KING'S LYNN AND WEST NORFOLK","NORFOLK","A","A"
"{8DE57D57-DDC3-4993-8C33-83B4E5BAA543}","105000","1995-11-30 00:00","S6 6TG","D","N","F","70","","WOODSTOCK ROAD","LOXLEY","SHEFFIELD","SHEFFIELD","SOUTH YORKSHIRE","A","A"
"{568DE11A-432B-4DA3-B9A4-83B4EC4BD127}","121250","1995-05-19 00:00","N12 8LR","F","N","L","CAVENDISH HOUSE","FLAT 20","WOODSIDE GRANGE ROAD","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{F7A5CAE4-BDD3-4911-897C-8AC393B97281}","43000","1995-12-01 00:00","LA6 3DQ","T","N","F","90","","NEW VILLAGE","INGLETON","CARNFORTH","CRAVEN","NORTH YORKSHIRE","A","A"
"{DED4E551-6B96-40FB-98E9-8AC3B9071356}","128500","1995-03-01 00:00","SW18 5DH","T","N","F","149","","TRENTHAM STREET","LONDON","LONDON","WANDSWORTH","GREATER LONDON","A","A"
